-0.6, 1.0, 0, -0.4, 1.0, 0, -0.4, -1.5, 0, -0.6, -1.5, 0
-0.6, 1.0, -0.2, -0.4, 1.0, -0.2, -0.4, -1.5, -0.2, -0.6, -1.5, -0.2
-0.6, 1.0, 0, -0.6, -1.5, 0, -0.6, -1.5, -0.2, -0.6, 1.0, -0.2
-0.4, 1.0, 0, -0.4, -1.5, 0, -0.4, -1.5, -0.2, -0.4, 1.0, -0.2

0.4, 1.0, 0, 0.6, 1.0, 0, 0.6, -1.5, 0, 0.4, -1.5, 0
0.4, 1.0, -0.2, 0.6, 1.0, -0.2, 0.6, -1.5, -0.2, 0.4, -1.5, -0.2
0.4, 1.0, 0, 0.4, -1.5, 0, 0.4, -1.5, -0.2, 0.4, 1.0, -0.2
0.6, 1.0, 0, 0.6, -1.5, 0, 0.6, -1.5, -0.2, 0.6, 1.0, -0.2

-0.4, -1.4, 0, 0.4, -1.4, 0, 0.4, -1.5, 0, -0.4, -1.5, 0
-0.4, -1.4, -0.2, 0.4, -1.4, -0.2, 0.4, -1.5, -0.2, -0.4, -1.5, -0.2
-0.4, -1.5, 0, -0.4, -1.5, -0.2, 0.4, -1.5, -0.2, 0.4, -1.5, 0
